facility_id,facility_name,orgunitid,lga_id,lga_name,cluster_id,cluster_name,product_id,product_name,date,total_used,HTS3e,HTS3e(Pos),VT1,VT1(Pos),YP2,YP2(Pos),KP_CTRR,KP_CTRR(Pos),total_dhis2,tested_comparison
85.0,An Awba Offemmili Primary Health Centre,HqwDi1gXzB7,6.0,Awka North,4.0,Awka,,,2025-10-06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
85.0,An Awba Offemmili Primary Health Centre,HqwDi1gXzB7,6.0,Awka North,4.0,Awka,,,2025-10-07,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
85.0,An Awba Offemmili Primary Health Centre,HqwDi1gXzB7,6.0,Awka North,4.0,Awka,,,2025-10-08,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0
85.0,An Awba Offemmili Primary Health Centre,HqwDi1gXzB7,6.0,Awka North,4.0,Awka,,,2025-10-10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
130.0,An Ifite Primary Health Centre,I6Xcx9875kJ,8.0,Ayamelum,2.0,Omambala,,,2025-10-03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
130.0,An Ifite Primary Health Centre,I6Xcx9875kJ,8.0,Ayamelum,2.0,Omambala,,,2025-10-10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
228.0,An Enugu Ukwu General Hospital,IA64rosyhK1,14.0,Njikoka,4.0,Awka,,,2025-10-01,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
228.0,An Enugu Ukwu General Hospital,IA64rosyhK1,14.0,Njikoka,4.0,Awka,,,2025-10-02,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0
228.0,An Enugu Ukwu General Hospital,IA64rosyhK1,14.0,Njikoka,4.0,Awka,,,2025-10-03,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
228.0,An Enugu Ukwu General Hospital,IA64rosyhK1,14.0,Njikoka,4.0,Awka,,,2025-10-06,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
228.0,An Enugu Ukwu General Hospital,IA64rosyhK1,14.0,Njikoka,4.0,Awka,,,2025-10-07,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,-15.0
228.0,An Enugu Ukwu General Hospital,IA64rosyhK1,14.0,Njikoka,4.0,Awka,,,2025-10-08,0.0,4.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,15.0,-15.0
228.0,An Enugu Ukwu General Hospital,IA64rosyhK1,14.0,Njikoka,4.0,Awka,,,2025-10-09,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
181.0,An Iyi-Enu Hospital,IEKVnEePZLN,11.0,Idemili North,6.0,Onitsha,,,2025-10-01,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0
181.0,An Iyi-Enu Hospital,IEKVnEePZLN,11.0,Idemili North,6.0,Onitsha,,,2025-10-02,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,-8.0
181.0,An Iyi-Enu Hospital,IEKVnEePZLN,11.0,Idemili North,6.0,Onitsha,,,2025-10-07,0.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,16.0,-16.0
181.0,An Iyi-Enu Hospital,IEKVnEePZLN,11.0,Idemili North,6.0,Onitsha,,,2025-10-09,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,-8.0
181.0,An Iyi-Enu Hospital,IEKVnEePZLN,11.0,Idemili North,6.0,Onitsha,33.0,Determine,2025-10-10,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
317.0,An Onitsha Pieta Hospital,IX2qlVptNql,19.0,Onitsha South,6.0,Onitsha,,,2025-10-01,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,12.0,-12.0
317.0,An Onitsha Pieta Hospital,IX2qlVptNql,19.0,Onitsha South,6.0,Onitsha,,,2025-10-02,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,13.0,-13.0
317.0,An Onitsha Pieta Hospital,IX2qlVptNql,19.0,Onitsha South,6.0,Onitsha,,,2025-10-06,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
317.0,An Onitsha Pieta Hospital,IX2qlVptNql,19.0,Onitsha South,6.0,Onitsha,,,2025-10-07,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,13.0,-13.0
317.0,An Onitsha Pieta Hospital,IX2qlVptNql,19.0,Onitsha South,6.0,Onitsha,,,2025-10-08,0.0,0.0,0.0,14.0,0.0,73.0,0.0,0.0,0.0,87.0,-87.0
317.0,An Onitsha Pieta Hospital,IX2qlVptNql,19.0,Onitsha South,6.0,Onitsha,,,2025-10-09,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
317.0,An Onitsha Pieta Hospital,IX2qlVptNql,19.0,Onitsha South,6.0,Onitsha,,,2025-10-10,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,-4.0
348.0,An Ogboji Primary Health Centre,IwQUgEBiiYB,21.0,Orumba South,1.0,Aguata,,,2025-10-10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
242.0,An Edoji Primary Health Centre,J1dgQz1R68m,15.0,Nnewi North,5.0,Nnewi,,,2025-10-03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
242.0,An Edoji Primary Health Centre,J1dgQz1R68m,15.0,Nnewi North,5.0,Nnewi,,,2025-10-10,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,-5.0
90.0,An Mgbakwu Health Post,JNAiwnKB4ks,6.0,Awka North,4.0,Awka,,,2025-10-10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
124.0,An Umuokpu Primary Health Center,JOocbzN2dq7,7.0,Awka South,4.0,Awka,,,2025-10-06,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,-5.0
281.0,An Okpoko Primary Health Centre Iii,JRKjN1krw1v,17.0,Ogbaru,6.0,Onitsha,,,2025-10-10,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
116.0,An Nworah Hilltop Hospital And Maternity,JnK78IWxALr,7.0,Awka South,4.0,Awka,,,2025-10-01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
116.0,An Nworah Hilltop Hospital And Maternity,JnK78IWxALr,7.0,Awka South,4.0,Awka,,,2025-10-03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
116.0,An Nworah Hilltop Hospital And Maternity,JnK78IWxALr,7.0,Awka South,4.0,Awka,,,2025-10-06,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
116.0,An Nworah Hilltop Hospital And Maternity,JnK78IWxALr,7.0,Awka South,4.0,Awka,,,2025-10-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
