pe_name,ou,ou_name,HTS3e,HTS3e(Pos),VT1,VT1(Pos),YP2,YP2(Pos),KP_CTRR,KP_CTRR(Pos)
2025-10-02,VW6oZN1jKMg,an Lancet Hospital LTD,29,0,0,0,0,0,0,0
2025-10-02,VbYKP326qwm,"an Umubani, Neni Primary Health Center",1,0,0,0,0,0,0,0
2025-10-02,XsnL6NMMrlI,an Ideani Primary Health Center,2,0,0,0,0,0,0,0
2025-10-02,YzuXkd7MRFN,an Obuno Ebenebe Health Post,3,0,0,0,0,0,0,0
2025-10-02,ZSSbDRTZ6CX,an St. Patricks Hospital and Maternity,0,0,15,0,0,0,0,0
2025-10-02,bVDmQU3reY0,an Patricia Memorial Hospital and Maternity Aka baby,0,0,2,0,0,0,0,0
2025-10-02,dBES5aQviuh,"an Anambra State One Stop Shop (OSS) Site, Awka",0,0,0,0,0,0,80,1
2025-10-02,dkIkLMCU3KL,an Gozie Specialist Hospital,0,0,7,0,0,0,0,0
2025-10-02,e2t30fu3vAw,an All Hallows Hospital and Maternity,0,0,5,0,0,0,0,0
2025-10-02,eGQQItC0MTW,an Mama Eliza Maternity Home,0,0,2,0,0,0,0,0
2025-10-02,glt0a9JC4VC,an Achalla Maternal and Child Health Care Centre,6,0,0,0,0,0,0,0
2025-10-02,iP3AXOcPWYS,an Oraukwu Primary Health Centre,4,0,0,0,0,0,0,0
2025-10-02,k4Nw4uCT97V,an Umunya Comprehensive Health Centre,1,0,0,0,0,0,0,0
2025-10-02,lOzN4yw4pSh,an Madueke Memorial Hospital and Maternity,2,0,2,0,0,0,0,0
2025-10-02,mKYIhwM6HUb,an Ichida II Primary Health Centre,3,0,2,0,0,0,0,0
2025-10-02,msr1TOXqZKf,an St Charles Borromeo Hospital,18,0,2,0,0,0,0,0
2025-10-02,p7CKerD8kRp,an Oba Comprehensive Health Centre (Trauma Centre),20,10,1,1,0,0,0,0
2025-10-02,pxYOOPUXmtt,an Obosi St Martin's Hospital,3,0,0,0,0,0,0,0
2025-10-02,qtDvX43LURH,an Akwaeze Community Reproductive Referral Health Centre,4,0,3,0,0,0,0,0
2025-10-02,s4ZDSr4IBSr,an St. Marks Primary Health Centre,0,0,1,0,0,0,0,0
2025-10-02,sjeTS3oSial,an Eziani Ihiala Primary Health Centre,0,0,3,0,0,0,0,0
2025-10-02,uYnfVI0bkyf,an Nkpor Crown Hospital and Maternity,8,0,0,0,0,0,0,0
2025-10-02,uk9tTbaNcYv,an Abagana Health Centre,0,0,1,0,0,0,0,0
2025-10-02,wM3b4l8Oesq,an Onitsha General Hospital,9,0,3,0,0,0,0,0
2025-10-02,x8kegIarjSt,an Amansea Health Post,3,0,0,0,0,0,0,0
2025-10-02,yjxtvOYtp5A,an Ukpor General Hospital,20,0,0,0,0,0,0,0
2025-10-02,yox6XBHvvUs,an Kanayo Specialist Hospital and Maternity,0,0,4,0,0,0,0,0
2025-10-03,A6L3DXI7vu8,an Umuikwu Primary Health Centre,0,0,2,0,0,0,0,0
2025-10-03,AKfQkUjVHEK,an St. John Anglican Primary Health Centre,0,0,8,0,0,0,0,0
2025-10-03,B5PbcJXLP9z,an Lilu Primary Health Centre,0,0,2,0,0,0,0,0
2025-10-03,CLrRC2NZAR9,an Ogboro Primary Health Centre,0,0,2,0,0,0,0,0
2025-10-03,Cj3rwgMDm7q,an Umuawah Health Post,0,0,0,0,10,0,0,0
2025-10-03,DasDyIPK8jQ,an Umuezeanam 2 Primary Health Centre,0,0,1,0,0,0,0,0
2025-10-03,E22605q44Z6,an Atani Primary Health Centre,0,0,5,0,0,0,0,0
2025-10-03,ENi2yTYsiwn,an Holy Spirit Primary Health Centre,0,0,1,0,0,0,0,0
2025-10-03,EoeDzJ1FUKN,an Obodootu Primary Health Centre,0,0,2,0,0,0,0,0
2025-10-03,FfgZ5ufqf7n,an Ebenesi Nnobi Primary Health Centre,0,0,3,0,0,0,0,0
2025-10-03,GupwPZYcMw1,an AKABOEZEM PHC,0,0,2,0,0,0,0,0
2025-10-03,H2vA8qHohf5,an Ogbunka Primary Health Centre,0,0,1,0,0,0,0,0
2025-10-03,HZV6vjUIOuO,an Ihembosi Referral Health Centre,0,0,2,0,0,0,0,0
2025-10-03,Ha1Uxfwnmwq,an Rock Foundation Hospital,0,0,3,0,0,0,0,0
2025-10-03,HqwDi1gXzB7,an Awba Offemmili Primary Health Centre,1,0,0,0,0,0,0,0
2025-10-03,I6Xcx9875kJ,an Ifite Primary Health Centre,0,0,1,0,0,0,0,0
2025-10-03,IA64rosyhK1,an Enugu Ukwu General Hospital,2,0,0,0,0,0,0,0
2025-10-03,J1dgQz1R68m,an Edoji Primary Health Centre,0,0,1,0,0,0,0,0
2025-10-03,JnK78IWxALr,"an Nworah Hilltop Hospital & Maternity, Ugwu Tank, Amawbia",0,0,1,0,0,0,0,0
2025-10-03,JnbNLi29aZL,an Umudora Primary Health Centre,0,0,2,0,0,0,0,0
2025-10-03,Jzpyxz1Cydy,an Obinwane Hospital and Maternity,0,0,5,5,0,0,0,0
2025-10-03,LJvUBIpAfxA,an GRA PHC,0,0,5,0,0,0,0,0
2025-10-03,MUq9oPoC0hr,an Ukpo Comprehensive Health Centre,5,0,0,0,0,0,0,0
2025-10-03,NM4YEYMHEqN,an His Glory Maternity Umunze,0,0,2,0,0,0,0,0
2025-10-03,OKPZ7SmaYwP,an Immaculate Heart Hospital (Nkpor),8,1,1,0,0,0,0,0
2025-10-03,OoBxXYn1eoy,an Nnamdi Azikiwe University Teaching Hospital,96,1,3,0,0,0,0,0
2025-10-03,Oua590tZ4Vd,an Okija Central Primary Health Centre,0,0,5,0,0,0,0,0
2025-10-03,P9qUQA6KmAs,an Holy Rosary Hospital,12,3,0,0,0,0,0,0
2025-10-03,PvDpVr5oSIP,an Igbedor Primary Health Centre,0,0,3,0,0,0,0,0
2025-10-03,Qj5adNgRgcZ,an Akwa Primary Health Centre,0,0,4,0,0,0,0,0
2025-10-03,QpDemAvM3Tf,an Iyiora Primary Health Centre,0,0,5,0,0,0,0,0
2025-10-03,QppIbUI9E92,an Ozala Isuofia Primary Health Centre,0,0,1,0,0,0,0,0
2025-10-03,QqXS3kwHLkP,an Ifite Awkuzu Primary Health Centre,0,0,1,0,0,0,0,0
2025-10-03,S3jUrQJhdKZ,an Ogechukwu Maternity,0,0,3,0,0,0,0,0
2025-10-03,SaEp4uCoKLh,an Okika Maternity,0,0,6,0,0,0,0,0
2025-10-03,Sya1xqHhCCO,an Our Lady of Lourdes Hospital,0,0,0,0,17,1,0,0
2025-10-03,TNwOSX6UfCW,an Umudeze Primary Health Centre,0,0,6,0,0,0,0,0
2025-10-03,TaFHmyxBqR7,an Awka-Etiti II Primary Health Centre,0,0,2,0,0,0,0,0
2025-10-03,V0K20ejw5vr,an Oroma Etiti Primary Health Center,0,0,2,0,0,0,0,0
2025-10-03,V3MCCguBan8,an Ezira Primary Health Centre,0,0,4,0,0,0,0,0
2025-10-03,VW6oZN1jKMg,an Lancet Hospital LTD,5,0,0,0,0,0,0,0
2025-10-03,Vli5C2SFWrh,an Omor PrimaryHealth Centre,0,0,1,0,0,0,0,0
2025-10-03,YzuXkd7MRFN,an Obuno Ebenebe Health Post,3,1,1,0,0,0,0,0
2025-10-03,ZSSbDRTZ6CX,an St. Patricks Hospital and Maternity,0,0,3,0,0,0,0,0
2025-10-03,akw2O5cpDNP,an Okpuno Primary Health Centre,0,1,5,0,0,0,0,0
2025-10-03,beBpDqUQJMn,an Chidiebere Maternity,0,0,3,0,0,0,0,0
2025-10-03,cHTHLQECBHb,an Enugwu Aguleri Primary Health Center,0,1,0,0,0,0,0,0
2025-10-03,d6ugp5puEZ2,an Nteje Primary Health Centre,0,0,1,0,0,0,0,0
2025-10-03,dBES5aQviuh,"an Anambra State One Stop Shop (OSS) Site, Awka",0,0,0,0,0,0,79,0
2025-10-03,dkIkLMCU3KL,an Gozie Specialist Hospital,0,0,3,0,0,0,0,0
2025-10-03,fWFqufPpvlx,an Abubo Primary Health Centre,0,0,7,0,0,0,0,0
2025-10-03,fiItxaKbEDp,an Umunankwo Primary Health Centre Ogbaru,0,0,3,0,0,0,0,0
2025-10-03,fzYRxCwtQf2,an Akamili Primary Health Clinic,0,0,2,0,0,0,0,0
2025-10-03,glt0a9JC4VC,an Achalla Maternal and Child Health Care Centre,5,0,0,0,0,0,0,0
2025-10-03,iRAmuxfCqmA,an Alor Primary Health Centre,0,0,3,0,0,0,0,0
2025-10-03,k4Nw4uCT97V,an Umunya Comprehensive Health Centre,0,0,2,0,0,0,0,0
2025-10-03,lJi4pRQnIsT,an St Anthony Maternity Hospital,0,0,11,0,0,0,0,0
2025-10-03,lOzN4yw4pSh,an Madueke Memorial Hospital and Maternity,2,0,0,0,0,0,0,0
2025-10-03,lo2x8EF5rhM,an Umuonuora Primary Health Centre,0,0,8,0,0,0,0,0
2025-10-03,loRPUW3Lkbh,an Comprehensive Health Centre Lomu,0,0,4,0,0,0,0,0
2025-10-03,mQpnj5bT6HS,an Christ Church Primary Health Center,0,0,1,0,0,0,0,0
2025-10-03,miQ5RVnWC0K,an Eziowelle Primary Health Centre,4,0,0,0,0,0,0,0
2025-10-03,msr1TOXqZKf,an St Charles Borromeo Hospital,11,0,3,1,0,0,0,0
2025-10-03,msvy1BMNG4T,an Ula Ekwulobia Primary Health Centre,0,1,1,0,0,0,0,0
2025-10-03,oZWwkGsF8WV,an Ifitedunu General Hospital,0,0,1,0,0,0,0,0
2025-10-03,p7CKerD8kRp,an Oba Comprehensive Health Centre (Trauma Centre),11,0,0,0,0,0,0,0
2025-10-03,pxYOOPUXmtt,an Obosi St Martin's Hospital,9,0,5,0,0,0,0,0
2025-10-03,q9iZUe3cVCu,an Orafite General Hospital,0,0,0,0,20,0,0,0
2025-10-03,qs0jtVhDtUn,an Our Lady's of Fatima Woliwo Health Post,0,0,1,0,0,0,0,0
2025-10-03,sSb0uyx1KGX,an Umudim Primary Health Centre,0,0,3,0,0,0,0,0
2025-10-03,sjeTS3oSial,an Eziani Ihiala Primary Health Centre,0,0,2,0,0,0,0,0
2025-10-03,t8NuQiiDWb6,an Okpuno Otolo Primary Health Centre,0,0,1,0,0,0,0,0
2025-10-03,tj7gQs8DwoM,an Ihite Primary Health Center,0,0,1,0,0,0,0,0
2025-10-03,uYnfVI0bkyf,an Nkpor Crown Hospital and Maternity,5,0,0,0,0,0,0,0
2025-10-03,wM3b4l8Oesq,an Onitsha General Hospital,0,0,2,0,0,0,0,0
